排名,区域,城市,国家,国旗,社区名称,社区名称(英),类型,简介,月费(USD),容量,政策摘要,网址,联系邮箱,社群链接,综合分,来源,最后更新
1,亚洲,巴厘岛 (乌布),印尼,🇮🇩,Hubud,Hubud Bali,联合办公,"位于乌布心脏地带的传奇联合办公空间,创立于 2012 年,是巴厘岛数字游民运动的起点,长期举办 Tech Thursday 创业者聚会。",$130–220/月 (热桌) · $250–350/月 (专属位),80,日票可用 / 周月票灵活 / 欢迎游客体验 / 鼓励跨文化交流,https://hubud.org,hello@hubud.org,https://www.facebook.com/HubudBali,8.4,hubud.org/about,2026-08-08
2,亚洲,巴厘岛 (长谷),印尼,🇮🇩,Dojo Bali,Dojo Bali,联合办公,"长谷最具人气的游民聚集地,屋顶露天泳池 + 海景工位,每日有集体瑜伽,周周社交晚宴。",$165/月 (日票 $15),150,全天开放 24×7 / 接受访客日票 / 鼓励远程办公 / 欢迎非会员参加活动,https://www.dojobali.org,info@dojobali.org,https://www.instagram.com/dojobali,8.5,dojobali.org/about,2026-08-08
3,亚洲,巴厘岛 (乌布),印尼,🇮🇩,Outpost Ubud,Outpost Ubud,联合生活,"巴厘岛最具代表性的 Coliving 社区,提供单间公寓 + 共享工作空间 + 每日三餐,带瀑布泳池别墅。","$1,850–2,800/月 (含住宿餐饮)",60,最少入住 7 天 / 含工作空间+三餐+健身房 / 接受工作签证 / 提供月度活动,https://www.outpost.club/ubud,hello@outpost.club,https://www.instagram.com/outpost.club,8.7,outpost.club/ubud,2026-08-08
4,亚洲,巴厘岛 (长谷),印尼,🇮🇩,Outsite Canggu,Outsite Canggu,联合生活,"面向远程工作者的 Coliving 别墅网络,在巴厘岛、里斯本、纽约等地设有多个据点,适合 1 周-3 个月灵活入住。","$1,400–2,500/月",40,最少 7 天入住 / 共享厨房 + 高速 WiFi / 含办公空间 / 含早餐 / 周游民聚会,https://www.outsite.co,stay@outsite.co,https://www.instagram.com/lifeatoutsite,8.6,outsite.co/canggu,2026-08-08
5,亚洲,巴厘岛 (沙努尔),印尼,🇮🇩,Outpost Sanur,Outpost Sanur,联合生活,"Outpost 旗下新兴 Coliving 品牌,沙努尔地区别墅群,周周社区晚宴 + 周末冲浪课程。","$1,800–2,600/月 (含住宿+餐饮)",50,最少 7 天入住 / 含工作空间+三餐 / 接受工作签证,https://www.outpost.club/sanur,hello@outpost.club,https://www.instagram.com/outpost.club,8.2,outpost.club/sanur,2026-08-08
6,亚洲,清迈,泰国,🇹🇭,Punspace Nimman,Punspace Nimman,联合办公,"清迈最早的联合办公空间之一,尼曼路核心位置,本地创业者与远程工作者混合社群,周三晚固定 Coffee Chat。",$75–110/月 (热桌) · $150/月 (专属位),70,日票 250 THB / 月票自动续费 / 接受游客参观 / 周三创业者聚会免费,https://punspace.com,info@punspace.com,https://www.facebook.com/PunspaceChiangMai,8.0,punspace.com/about,2026-08-08
7,亚洲,清迈,泰国,🇹🇭,CAMP @ Maya,CAMP @ Maya,联合办公,"清迈最知名的游民朝圣地,位于 Maya 商场顶层,免费咖啡 + 山景 + 24 小时开放,常态约 150 人同时在线办公。",$70–110/月 (热桌) · $150/月 (专属),200,24×7 全开放 / 月票自动续 / 接受访客日票 / 每周社区晚宴,https://campatmay.com,hello@campatmaya.com,https://www.facebook.com/CAMPatMaya,8.7,campatmaya.com/about,2026-08-08
8,亚洲,清迈,泰国,🇹🇭,Chiang Mai Digital Nomads,Chiang Mai Digital Nomads,聚会,"全球最大的清迈游民 Meetup 群,周日晚固定欢聚晚宴,新人欢迎、签证答疑、公寓分享是常态。",免费 (聚会 AA 制),3000,免费加入 / 每周日固定晚宴 / 新人欢迎机制 / 接受所有数字游民,https://www.meetup.com/chiang-mai-digital-nomads/,-,https://www.meetup.com/chiang-mai-digital-nomads/,7.8,meetup.com/chiang-mai-digital-nomads,2026-08-08
9,亚洲,曼谷,泰国,🇹🇭,The Hive Thonglor,The Hive Thonglor,联合办公,"泰国本土最具规模的 Coworking 网络,Thonglor 设计感空间,餐厅 + 酒吧 + 共享办公,游民与本地创业者共享。",$160–250/月 (热桌) · $280–380/月 (专属),120,月票灵活 / 工作日 24×7 / 提供会议室预订 / 含免费咖啡,https://thehive-bkk.com,hello@thehive-bkk.com,https://www.facebook.com/TheHiveThailand,7.9,thehive-bkk.com,2026-08-08
10,亚洲,曼谷,泰国,🇹🇭,JustCo Sukhumvit,JustCo Sukhumvit Bangkok,联合办公,"新加坡起家的亚洲最大本土 Co-working 连锁,曼谷核心,英语通用,游民友好。",$160–280/月 (热桌) · $300–450/月 (专属),300,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡,https://www.justco.com,-,https://www.facebook.com/justcoworking,7.4,justco.com/th,2026-08-08
11,亚洲,台北,台湾,🇹🇼,CLBC 大安店,CLBC Da-an,联合办公,"台北最具规模的本土 Co-working 品牌,大安区核心位置,常年举办创业者交流、AI 周会、设计沙龙。",$140–220/月 (热桌) · $250–350/月 (专属),100,月票制 / 周一至周五开放 / 会议室预订优惠 / 接受访客日票,https://clbc.tw,service@clbc.tw,https://www.facebook.com/CLBCTaipei,7.6,clbc.tw/about,2026-08-08
12,亚洲,大理,中国,🇨🇳,大理数字游民社区,Dali Digital Nomad Community,联合生活,"位于大理古城 + 才村的小型联合生活社区,2-5 人精品小院,周周聚会 + 苍山徒步 + 白族文化体验。","$1,000–1,500/月 (含住宿)",15,最少入住 14 天 / 含工作空间 / 月度聚餐 / 鼓励文化交流,https://www.dalinomad.com,hi@dalinomad.com,https://www.instagram.com/dali.digitalnomad,8.2,dalinomad.com,2026-08-08
13,亚洲,上海,中国,🇨🇳,Naked Hub 创智天地,Naked Hub Yangpu,联合办公,"上海本地高端联合办公品牌,空间设计感强,常驻外籍创业者和跨国团队,适合商务型游民。",$250–450/月 (热桌) · $450–700/月 (专属),200,月票制 / 工作日开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://www.nakedhub.com,info@nakedhub.com,https://www.linkedin.com/company/naked-hub,7.5,nakedhub.com/about,2026-08-08
14,亚洲,深圳,中国,🇨🇳,星河滚烫数字游民基地,Galaxy Digital Nomad Hub Shenzhen,联合生活,"深圳南山本土 Coliving + Co-working,聚焦跨境电商 + AI 创业者,中文为主。","$1,400–2,200/月 (含住宿)",20,最少 14 天入住 / 含工作空间 / 周聚会 / 接受团队,https://www.galaxynomad.cn,hi@galaxynomad.cn,https://www.xiaohongshu.com/galaxynomad,7.6,galaxynomad.cn,2026-08-08
15,亚洲,胡志明,越南,🇻🇳,The Hive Binh Thanh,The Hive Binh Thanh,联合办公,"胡志明市核心 Co-working,毗邻西贡河,设计感极强,本地创业者 + 国际游民混合社群。",$130–220/月 (热桌),100,月票制 / 周一至周六开放 / 提供会议室 / 含免费咖啡,https://thehivevietnam.com,hello@thehivevietnam.com,https://www.facebook.com/TheHiveVietnam,7.5,thehivevietnam.com,2026-08-08
16,亚洲,东京,日本,🇯🇵,WeWork Iceberg,WeWork Iceberg Tokyo,联合办公,"东京六本木标志性 WeWork,日语环境友好,会议室 + 路演厅齐备,适合亚洲商务型游民。",$300–550/月 (热桌) · $550–900/月 (专属),500,月票制 / 24×7 开放 / 含全球 WeWork 通行 / 含免费咖啡,https://www.wework.com,-,https://www.wework.com/buildings/iceberg--tokyo,7.4,wework.com/locations/tokyo,2026-08-08
17,亚洲,东京,日本,🇯🇵,The Hive Jinnan,The Hive Jinnan Shibuya,联合办公,"东京涩谷区日本本土 Co-working,英语友好,设计感强,提供会议室 + 活动空间,常年举办国际 Meetup。",$200–350/月 (热桌),70,月票制 / 24×7 开放 / 含免费咖啡 / 接受访客,https://thehivejapan.com,hello@thehivejapan.com,https://www.facebook.com/TheHiveJapan,7.4,thehivejapan.com,2026-08-08
18,亚洲,首尔,韩国,🇰🇷,Seongsu Coworking,Seongsu Coworking,联合办公,"首尔圣水洞热门共享办公,工业风设计 + 屋顶花园,韩国本土创意人聚集,韩语为主。",$200–350/月 (热桌),60,月票制 / 工作日开放 / 提供会议室 / 接受游客参观,https://www.seongsucowork.com,hello@seongsucowork.com,https://www.instagram.com/seongsucowork,7.0,seongsucowork.com,2026-08-08
19,亚洲,新加坡,新加坡,🇸🇬,The Working Capitol,The Working Capitol,联合办公,"新加坡本土精品 Co-working,位于历史建筑内,聚焦 Web3 与 AI 创业者社群,常态举办 Pitch Night。",$220–350/月 (热桌) · $400–600/月 (专属),80,月票制 / 周一至周五开放 / 会议室预订 / 含免费咖啡,https://www.theworkingcapitol.com,hello@twc.sg,https://www.instagram.com/theworkingcapitol,7.3,theworkingcapitol.com,2026-08-08
20,亚洲,吉隆坡,马来西亚,🇲🇾,Common Ground KL,Common Ground KL,联合办公,"马来西亚最大的本土 Co-working 连锁,吉隆坡 KLCC 旗舰,英语通用,游民友好。",$120–220/月 (热桌),120,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡,https://www.commonground.work,hello@commonground.work,https://www.facebook.com/CommonGroundWork,7.0,commonground.work,2026-08-08
21,欧洲,柏林,德国,🇩🇪,St. Oberholz,St. Oberholz,联合办公,"柏林最具传奇色彩的游民据点,2005 年开业,常驻创业者社群,Rosenthaler Platz 黄金位置。",$130–220/月 (热桌),80,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://www.st-oberholz.de,info@st-oberholz.de,https://www.instagram.com/stoberholz,8.4,st-oberholz.de/about,2026-08-08
22,欧洲,柏林,德国,🇩🇪,Betahaus,Betahaus,联合办公,"柏林第二老牌 Co-working,Rudi-Dutschke-Straße 黄金地段,周周 Founder Dinner。",$140–240/月 (热桌) · $250–350/月 (专属),120,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡,https://www.betahaus.com,info@betahaus.com,https://www.facebook.com/betahaus,7.9,betahaus.com/about,2026-08-08
23,欧洲,柏林,德国,🇩🇪,Ahoy! Berlin,Ahoy! Berlin,联合办公,"柏林 Kreuzberg 区新锐 Co-working,工业风 + 屋顶露台,Web3 与 AI 创业者聚集地。",$180–280/月 (热桌),60,月票制 / 24×7 开放 / 提供会议室 / 接受游客参观,https://www.ahoyberlin.com,hello@ahoyberlin.com,https://www.instagram.com/ahoyberlin,7.6,ahoyberlin.com,2026-08-08
24,欧洲,柏林,德国,🇩🇪,TOA Berlin,TOA Berlin,联合办公,"位于柏林的 Tech Open Air 旗下 Co-working,科技氛围浓厚,常举办 Hackathon 与 Workshop。",$180–300/月 (热桌),80,月票制 / 周一至周五开放 / 提供会议室 / 接受游客参观,https://toa.berlin,info@toa.berlin,https://www.instagram.com/toaberlin,7.5,toa.berlin,2026-08-08
25,欧洲,里斯本,葡萄牙,🇵🇹,Second Home Lisboa,Second Home Lisboa,联合办公,"里斯本最具标志性的 Co-working,Cais do Sodré 历史建筑改造,热带植物满屋,常年举办创意人聚会。",$250–400/月 (热桌) · $400–600/月 (专属),150,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://secondhome.io,hello@secondhome.io,https://www.instagram.com/secondhomeofficial,8.5,secondhome.io/lisbon,2026-08-08
26,欧洲,里斯本,葡萄牙,🇵🇹,Heden Santa Catarina,Heden Santa Catarina,联合办公,"里斯本老牌 Co-working,毗邻 LX Factory,英文通用,游民友好,提供瑜伽 + 冥想课程。",$150–250/月 (热桌),100,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡,https://heden.pt,info@heden.pt,https://www.instagram.com/heden_coworking,8.0,heden.pt,2026-08-08
27,欧洲,里斯本,葡萄牙,🇵🇹,BETA-i,BETA-i,联合办公,"里斯本本土创业加速器 + Co-working,Beato Innovation District 核心,常年举办 Demo Day 与 Hackathon。",$160–260/月 (热桌),80,月票制 / 周一至周五开放 / 提供会议室 / 接受游客参观,https://beta-i.com,info@beta-i.com,https://www.linkedin.com/company/beta-i,7.8,beta-i.com/about,2026-08-08
28,欧洲,布拉格,捷克,🇨🇿,Opero,Opero,联合办公,"布拉格 Karlín 区精品 Co-working,毗邻河边,本地创业者 + 国际游民混合,英语友好。",$130–220/月 (热桌),60,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://opero.cz/en,info@opero.cz,https://www.instagram.com/opero.cz,7.7,opero.cz/en/about,2026-08-08
29,欧洲,巴塞罗那,西班牙,🇪🇸,OneCoWork Marina,OneCoWork Marina,联合办公,"巴塞罗那港口精品 Co-working,海景办公位,英语友好,游民聚集地。",$180–280/月 (热桌) · $300–450/月 (专属),90,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://onecowork.com,hello@onecowork.com,https://www.instagram.com/onecowork,8.0,onecowork.com,2026-08-08
30,欧洲,巴塞罗那,西班牙,🇪🇸,MOB Caterina,MOB Caterina,联合办公,"巴塞罗那老牌 Co-working,18 世纪建筑改造,设计师 + 创业者 + 游民混合社群。",$150–240/月 (热桌),70,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://www.mob-barcelona.com,info@mob-barcelona.com,https://www.instagram.com/mob_barcelona,7.8,mob-barcelona.com,2026-08-08
31,欧洲,巴塞罗那,西班牙,🇪🇸,Talent Garden Barcelona,Talent Garden Barcelona,联合办公,"欧洲最大 Co-working 连锁之一,毗邻 Plaça d'Espanya,英语 + 西语通用,适合国际化游民。",$180–280/月 (热桌) · $300–500/月 (专属),120,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 全球 TG 网络通行,https://talentgarden.com,-,https://www.instagram.com/talentgarden,7.5,talentgarden.com/en/barcelona,2026-08-08
32,欧洲,塔林,爱沙尼亚,🇪🇪,Lift99,Lift99,联合办公,"爱沙尼亚本土 Co-working,Telliskivi 区核心,聚焦 Web3 与 AI 创业者,Skype 创始人背书。",$140–220/月 (热桌),70,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://www.lift99.co,hello@lift99.co,https://www.instagram.com/lift99,8.1,lift99.co/about,2026-08-08
33,欧洲,布达佩斯,匈牙利,🇭🇺,KAPTÁR,KAPTÁR,联合办公,"布达佩斯最具规模 Co-working,英语通用,游民与本地创业者混合社群,毗邻酒吧区。",$120–200/月 (热桌),80,月票制 / 周一至周日开放 / 提供会议室 / 含免费咖啡,https://kaptar.work,hello@kaptar.work,https://www.instagram.com/kaptarwork,7.8,kaptar.work,2026-08-08
34,欧洲,阿姆斯特丹,荷兰,🇳🇱,TQ Amsterdam,TQ Amsterdam,联合办公,"阿姆斯特丹创意科技园区,Web3 与 AI 创业社区,Nxt Museum 旁,游民聚集。",$200–350/月 (热桌),150,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://tq.co,info@tq.co,https://www.instagram.com/tqamsterdam,7.7,tq.co,2026-08-08
35,欧洲,巴黎,法国,🇫🇷,The Family,The Family,联合办公,"巴黎本土创业社区 + Co-working,聚焦 SaaS 与 AI 创业者,常举办 Demo Night。",$220–350/月 (热桌),60,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://www.thefamily.co,hello@thefamily.co,https://www.instagram.com/thefamilyco,7.4,thefamily.co,2026-08-08
36,欧洲,拉斯帕尔马斯,西班牙,🇪🇸,The Coworking Hub,The Coworking Hub,联合办公,"拉斯帕尔马斯游民核心据点,英语通用,周周社区晚宴 + 周末冲浪 + 远足活动。",$150–250/月 (热桌),80,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://thecoworkinghub.com,hello@thecoworkinghub.com,https://www.instagram.com/thecoworkinghub,8.3,thecoworkinghub.com,2026-08-08
37,欧洲,波尔图,葡萄牙,🇵🇹,Cowork Central Porto,Cowork Central Porto,联合办公,"波尔图核心 Co-working,英语通用,聚焦 Web3 与 AI 创业者,常态举办 Workshop。",$130–220/月 (热桌),60,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://www.coworkcentral.com,hello@coworkcentral.com,https://www.instagram.com/coworkcentral,7.7,coworkcentral.com,2026-08-08
38,欧洲,伦敦,英国,🇬🇧,Second Home Spitalfields,Second Home Spitalfields London,联合办公,"伦敦最具设计感 Co-working,Spitalfields 历史建筑,热带植物主题,聚焦创意 + 媒体 + 科技社群。",$300–500/月 (热桌) · $500–800/月 (专属),200,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://secondhome.io,hello@secondhome.io,https://www.instagram.com/secondhomeofficial,8.1,secondhome.io/london,2026-08-08
39,拉美,墨西哥城,墨西哥,🇲🇽,Casa Coworking Roma,Casa Coworking Roma,联合办公,"墨西哥城 Roma Norte 黄金地段,游民核心据点,英语通用,周二晚固定 Social Hour。",$140–220/月 (热桌) · $260–380/月 (专属),80,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://casacoworking.com,info@casacoworking.com,https://www.instagram.com/casacoworking,8.2,casacoworking.com,2026-08-08
40,拉美,墨西哥城,墨西哥,🇲🇽,Centraal Roma,Centraal Roma,联合办公,"墨西哥城 Roma Norte 本地 Co-working,设计感强,游民 + 本地创意人混合社群。",$130–210/月 (热桌),70,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://www.centraal.mx,hola@centraal.mx,https://www.instagram.com/centraal.mx,7.8,centraal.mx,2026-08-08
41,拉美,麦德林,哥伦比亚,🇨🇴,Plataforma Medellín,Plataforma Medellín,联合办公,"麦德林 El Poblado 核心 Co-working,英语通用,游民聚集,周周社区晚宴。",$120–200/月 (热桌),60,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://plataforma.med,hola@plataforma.med,https://www.instagram.com/plataforma.med,7.9,plataforma.med,2026-08-08
42,拉美,卡塔赫纳,哥伦比亚,🇨🇴,Casa Con Vista,Casa Con Vista,联合生活,"卡塔赫纳老城 Coliving 别墅,3-8 人精品小院,带屋顶泳池,游民聚集地。","$1,200–1,800/月 (含住宿)",15,最少入住 7 天 / 含工作空间 / 含早餐 / 周游民晚宴,https://casaconvista.co,hola@casaconvista.co,https://www.instagram.com/casaconvista,8.1,casaconvista.co,2026-08-08
43,拉美,布宜诺斯艾利斯,阿根廷,🇦🇷,AreaTres Palermo,AreaTres Palermo,联合办公,"布宜诺斯艾利斯 Palermo Soho 核心 Co-working,西班牙语 + 英语通用,游民友好。",$100–180/月 (热桌),50,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://www.areatres.com,info@areatres.com,https://www.instagram.com/areatres,7.3,areatres.com,2026-08-08
44,拉美,布宜诺斯艾利斯,阿根廷,🇦🇷,WeWork Buenos Aires,WeWork Buenos Aires,联合办公,"布宜诺斯艾利斯核心 WeWork,商务型游民聚集,英语通用,适合对接拉美市场。",$220–400/月 (热桌) · $350–550/月 (专属),300,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 全球 WeWork 通行,https://www.wework.com,-,https://www.wework.com/locations/buenos-aires,7.1,wework.com/locations/buenos-aires,2026-08-08
45,拉美,里约热内卢,巴西,🇧🇷,WeWork Botafogo,WeWork Botafogo Rio,联合办公,"里约热内卢 Botafogo 核心 WeWork,海景办公位,葡萄牙语 + 英语通用。",$200–380/月 (热桌),250,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡,https://www.wework.com,-,https://www.wework.com/locations/rio-de-janeiro,7.0,wework.com/locations/rio,2026-08-08
46,拉美,图卢姆,墨西哥,🇲🇽,Selina Tulum,Selina Tulum,度假村,"Selina 旗下墨西哥图卢姆旗舰,玛雅丛林 + 加勒比海双景,Co-living + Co-working + 派对混合。","$1,200–2,200/月 (含住宿+工作空间)",80,最少 7 天入住 / 含工作空间 / 含早餐 / 周游民聚会 / 接受访客,https://www.selina.com,-,https://www.instagram.com/selina,7.4,selina.com/tulum,2026-08-08
47,拉美,蒙得维的亚,乌拉圭,🇺🇾,Sinergia Cowork,Sinergia Cowork,联合办公,"蒙得维的亚本土 Co-working,英语通用,聚焦南美远程工作者。",$110–180/月 (热桌),40,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://www.sinergiacowork.com,hola@sinergiacowork.com,https://www.instagram.com/sinergiacowork,7.2,sinergiacowork.com,2026-08-08
48,非洲,开普敦,南非,🇿🇦,The Workspace Foreshore,The Workspace Foreshore,联合办公,"开普敦 CBD 核心 Co-working,英语通用,游民友好,聚焦 Web3 与 SaaS 创业者。",$130–220/月 (热桌),80,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡,https://theworkspace.co.za,info@theworkspace.co.za,https://www.instagram.com/theworkspace_cpt,7.5,theworkspace.co.za,2026-08-08
49,非洲,内罗毕,肯尼亚,🇰🇪,iHub Nairobi,iHub Nairobi,联合办公,"非洲最具影响力科技创业空间,聚焦非洲本土开发者社群,英语通用。",$100–180/月 (热桌),60,月票制 / 周一至周五开放 / 提供会议室 / 含免费咖啡 / 接受访客,https://ihub.co.ke,info@ihub.co.ke,https://www.instagram.com/ihub_nairobi,7.4,ihub.co.ke/about,2026-08-08
50,非洲,马拉喀什,摩洛哥,🇲🇦,Selina Marrakech,Selina Marrakech Medina,度假村,"马拉喀什麦地那核心 Selina,摩洛哥风情 Co-living + Co-working 混合,屋顶露台 + 庭院。","$800–1,500/月 (含住宿+工作空间)",40,最少 7 天入住 / 含工作空间 / 含早餐 / 周游民聚会,https://www.selina.com,-,https://www.instagram.com/selina,7.2,selina.com/marrakech,2026-08-08
51,非洲,约翰内斯堡,南非,🇿🇦,WeWork Sandton,WeWork Sandton Johannesburg,联合办公,"约翰内斯堡 Sandton 金融区核心 WeWork,商务型游民聚集,英语通用。",$180–340/月 (热桌),350,月票制 / 24×7 开放 / 提供会议室 / 含免费咖啡 / 全球 WeWork 通行,https://www.wework.com,-,https://www.wework.com/locations/johannesburg,7.1,wework.com/locations/johannesburg,2026-08-08
